timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,stage,trajectory_type,controller_mode,ff_gain,position_error_xy,position_error_3d
1782795966153417,-1,-1,nan,nan,nan,nan,nan,nan,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,nan,nan
1782795966203390,1,14,0.02464537,0.08209823,-0.027037412,0.015302406,0.010339046,0.011412569,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08571763795099331,1.9748238014139032
1782795966253343,1,14,0.025377665,0.08295185,-0.026857555,0.01585267,0.010850282,0.0117392335,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08674696332329306,1.9750482843025732
1782795966303354,1,14,0.02617435,0.083803646,-0.026565999,0.016510472,0.011299933,0.011891512,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08779605705167387,1.9753859565352314
1782795966353325,1,14,0.026727716,0.08430439,-0.026421443,0.017062068,0.01143255,0.011914321,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08843981503937659,1.9755591458112898
1782795966403407,1,14,0.027067794,0.08468141,-0.026380867,0.017504737,0.011397218,0.012068339,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.0889022307417635,1.975620392043072
1782795966453762,1,14,0.027057094,0.084995486,-0.026432887,0.017637573,0.011391496,0.011931722,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08919819817273453,1.9755818342919573
1782795966503354,1,14,0.026870597,0.08531947,-0.026516214,0.01751931,0.011312531,0.01197626,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.089450769726593,1.9755099664280777
1782795966553347,1,14,0.026458228,0.08549554,-0.026502043,0.017362257,0.011152852,0.011850048,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08949594971813084,1.9755261987770356
1782795966603373,1,14,0.025815861,0.08560121,-0.026379228,0.01694871,0.011015239,0.01188957,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08940931688399958,1.9756449503435873
1782795966653364,1,14,0.024916967,0.08568138,-0.026231945,0.016474623,0.01079981,0.011981488,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08923090397678912,1.9757839674985636
1782795966703354,1,14,0.023802001,0.08584359,-0.025936037,0.015860487,0.010659637,0.011999139,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08908231079887381,1.9760729518968325
1782795966753338,1,14,0.02289646,0.08605955,-0.025608078,0.015382289,0.010565394,0.012011651,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08905332062079947,1.9763992905612977
1782795966803923,1,14,0.022081751,0.086374186,-0.025168285,0.014918217,0.010590652,0.012123781,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08915214126511102,1.9768430488119766
1782795966853417,1,14,0.021297807,0.08676604,-0.024751306,0.014710779,0.010818042,0.012141519,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08934172019040372,1.9772681985601943
1782795966903324,1,14,0.020509878,0.08716645,-0.02441138,0.01423821,0.010937417,0.012158093,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08954688971663624,1.9776169448398186
1782795966953352,1,14,0.019989422,0.087348275,-0.024096325,0.014028631,0.010894739,0.012138408,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08960634980586958,1.9779343499608695
1782795967003395,1,14,0.019566515,0.08731275,-0.023782656,0.013897605,0.010544204,0.012377942,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08947829367201038,1.97824200228421
1782795967053625,1,14,0.01913256,0.0870423,-0.023488402,0.013826828,0.010085782,0.012449543,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08912023734927514,1.9785197823754754
1782795967103388,1,14,0.018728936,0.08662044,-0.022962242,0.01352049,0.009490703,0.012590094,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.0886220853138612,1.979023121764749
1782795967153326,1,14,0.018532244,0.086087056,-0.02249612,0.013528654,0.009067041,0.012744774,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08805921597547131,1.9794635817686725
1782795967203322,1,14,0.018378641,0.08538951,-0.022016019,0.013463439,0.00845489,0.012685074,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08734496326917521,1.9799115301847197
1782795967253353,1,14,0.018153597,0.084527664,-0.021511897,0.013288306,0.00759203,0.012684856,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08645507079119788,1.9803761116346876
1782795967303292,1,14,0.017811874,0.083473526,-0.020856783,0.013054074,0.00678633,0.012865165,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08535275327519636,1.980982907459786
1782795967353438,1,14,0.017425729,0.08260268,-0.020279706,0.012878265,0.0059450967,0.012944114,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.084420722917557,1.9815194918385877
1782795967403380,1,14,0.017045686,0.081799194,-0.019638747,0.012593104,0.0053887093,0.012973663,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08355634868695037,1.982123171096115
1782795967453376,1,14,0.016647633,0.08106187,-0.019052103,0.012259159,0.0048600147,0.012955558,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08275367316329574,1.9826755605655064
1782795967503365,1,14,0.016060112,0.08033572,-0.01832822,0.011711654,0.0043228543,0.013010513,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08192530102416941,1.9833645388074348
1782795967553800,1,14,0.0154884,0.079789355,-0.017625704,0.011256862,0.004084112,0.013077666,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08127872974675018,1.9840398790827698
1782795967603342,1,14,0.014844036,0.079226114,-0.016862735,0.010722251,0.0038609258,0.012971359,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.08060472906321867,1.9847746919613676
1782795967653462,1,14,0.01408821,0.0787402,-0.016098857,0.010039907,0.0035597237,0.012991138,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.0799906066319556,1.9855130754288612
1782795967703363,1,14,0.013023026,0.0782767,-0.01519452,0.009110018,0.0032201665,0.013146529,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,1.0,0.07935263970205295,1.9863910796355015
