timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,stage,trajectory_type,controller_mode,ff_gain,position_error_xy,position_error_3d
1782795883090117,-1,-1,0.036659017,0.1826287,-0.005802259,-0.0051733903,0.0010135375,0.005848872,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.18627164732499163,2.002878382791542
1782795883140142,1,14,0.036986142,0.18374442,-0.0048690587,-0.004895559,0.0016752444,0.0062432545,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.18742995145759347,2.003915411201342
1782795883190305,1,14,0.037248492,0.18500656,-0.003838405,-0.0045589963,0.0025711248,0.0066580013,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.188719044982811,2.0050626099055147
1782795883240147,1,14,0.037435938,0.1864015,-0.0028984398,-0.0042685675,0.0036323788,0.0070873327,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.19012356140976888,2.0061309541457866
1782795883290212,1,14,0.03757902,0.18813857,-0.0019629747,-0.004120589,0.0047577424,0.007433351,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.19185490478134487,2.007226999610734
1782795883340292,1,14,0.03752147,0.18973087,-0.0013582259,-0.004171804,0.0058301426,0.0077157854,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.19340543487347472,2.0079776681136945
1782795883390308,1,14,0.037298102,0.19136976,-0.0008017123,-0.004457667,0.006902628,0.007934983,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.19497059459764463,2.0086830715763386
1782795883440742,1,14,0.036944646,0.19305474,-0.00042755902,-0.00456223,0.008134827,0.007896068,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.19655797577155878,2.009210003712846
1782795883490132,1,14,0.036328327,0.19497596,-0.00037293136,-0.005271015,0.009286922,0.0077684917,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.19833146513799,2.009438772657876
1782795883540195,1,14,0.035676323,0.19661394,-0.00063450634,-0.005676518,0.010274962,0.0074556964,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.19982452480548876,2.009326289937703
1782795883590321,1,14,0.03500191,0.19815503,-0.0010385066,-0.006308466,0.011207426,0.007205586,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.2012226355500844,2.0090638057664743
1782795883640132,1,14,0.03430604,0.19960497,-0.0015401989,-0.006697748,0.0120927105,0.0067017446,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.2025315988723347,2.0086962465644014
1782795883690111,1,14,0.033444878,0.20117192,-0.002126649,-0.0071832333,0.012839363,0.006350308,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.20393308046458178,2.0082545406138737
1782795883740174,1,14,0.03264688,0.20247422,-0.002568975,-0.007633361,0.013508105,0.0060470975,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.20508932355550258,2.0079324293128082
1782795883790156,1,14,0.031783424,0.20371738,-0.0029548258,-0.008095996,0.014166813,0.005856266,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.20618185304677666,2.007660381328623
1782795883840212,1,14,0.030743554,0.20474996,-0.0033510476,-0.008647527,0.014643721,0.005422518,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.2070451857716929,2.0073551592232026
1782795883890166,1,14,0.029519154,0.20572503,-0.003738001,-0.009282206,0.0149695175,0.005143913,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.20783206517753686,2.007051553768274
1782795883940130,1,14,0.028495982,0.20616817,-0.0038262606,-0.009817077,0.014755916,0.00490847,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.2081281734631282,2.006994533537076
1782795883990181,1,14,0.027577132,0.20627543,-0.0037843734,-0.0102341985,0.01432895,0.0048378934,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.20811067643579578,2.007034329077533
1782795884040194,1,14,0.0267203,0.20604484,-0.0035189688,-0.010569832,0.013711429,0.0048486786,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.20777018051621207,2.0072631084295858
1782795884090107,1,14,0.025793772,0.20560071,-0.003061965,-0.010935084,0.012768442,0.0049897605,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,planar_ff,0.5,0.2072123778842949,2.007659906310817
