timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage,trajectory_type
1782704538231497,-1,-1,0.027342385,0.027224941,-0.05677572,0.009584463,0.009676785,0.002560165,0.0,0.0,-2.0,warmup,figure8
1782704538281702,1,4,0.026441032,0.027066447,-0.056220517,0.008733178,0.00929157,0.0027384784,0.0,0.0,-2.0,warmup,figure8
1782704538331547,1,4,0.025560463,0.026916258,-0.055903807,0.007920951,0.009223536,0.0028222608,0.0,0.0,-2.0,warmup,figure8
1782704538381675,1,4,0.024648737,0.02673958,-0.055667505,0.007188524,0.00895691,0.0028707278,0.0,0.0,-2.0,warmup,figure8
1782704538431728,1,4,0.023762556,0.02652704,-0.055474326,0.006362931,0.008688517,0.0029179712,0.0,0.0,-2.0,warmup,figure8
1782704538481596,1,4,0.022649236,0.02624806,-0.055230975,0.005275831,0.00832232,0.0031675212,0.0,0.0,-2.0,warmup,figure8
1782704538531624,1,4,0.021652034,0.025992472,-0.055047363,0.0043893037,0.008092798,0.0032675595,0.0,0.0,-2.0,warmup,figure8
1782704538581593,1,4,0.020621276,0.025835345,-0.054885298,0.0035540457,0.007934704,0.0032791297,0.0,0.0,-2.0,warmup,figure8
1782704538631649,1,4,0.019588212,0.025768202,-0.05476758,0.0027390337,0.00794124,0.0032296355,0.0,0.0,-2.0,warmup,figure8
1782704538681570,1,4,0.018259838,0.025944676,-0.054853335,0.0018614803,0.0080611,0.003221786,0.0,0.0,-2.0,warmup,figure8
1782704538731612,1,4,0.016960898,0.026379155,-0.05503632,0.001136506,0.0085016675,0.003147545,0.0,0.0,-2.0,warmup,figure8
1782704538781540,1,4,0.015598908,0.026905047,-0.055022478,0.00021287719,0.009088014,0.0030590491,0.0,0.0,-2.0,warmup,figure8
1782704538831631,1,4,0.014200443,0.027440978,-0.054851383,-0.0005981036,0.009317372,0.003016126,0.0,0.0,-2.0,warmup,figure8
1782704540570091,1,4,0.012544996,0.02798671,-0.054828554,-0.0016065015,0.009771471,0.002815383,0.0,0.0,-2.0,warmup,figure8
1782704540581532,1,4,0.012316465,0.02805741,-0.05482927,-0.0016968196,0.009808383,0.0027644136,0.0,0.0,-2.0,warmup,figure8
1782704540631895,1,4,0.010972034,0.02830952,-0.05480279,-0.0021434734,0.00998769,0.002582406,0.0,0.0,-2.0,warmup,figure8
1782704540681717,1,4,0.009754456,0.028275624,-0.054721713,-0.0025973448,0.009896182,0.0025845412,0.0,0.0,-2.0,warmup,figure8
1782704540731537,1,4,0.0083853,0.027861161,-0.054646343,-0.0030470768,0.009477379,0.0025828958,0.0,0.0,-2.0,warmup,figure8
1782704540781641,1,4,0.0071692863,0.02732731,-0.054621935,-0.0033462278,0.009085469,0.002811905,0.0,0.0,-2.0,warmup,figure8
1782704540831570,1,4,0.005927706,0.026638784,-0.05459635,-0.0039712545,0.008387477,0.0027613812,0.0,0.0,-2.0,warmup,figure8
1782704540881537,1,4,0.004807407,0.025862914,-0.054429933,-0.0044210795,0.0077514085,0.002762377,0.0,0.0,-2.0,warmup,figure8
1782704540931658,1,4,0.0035690009,0.024874121,-0.054244876,-0.0047703423,0.0069142748,0.0025370966,0.0,0.0,-2.0,warmup,figure8
1782704540981601,1,4,0.002617332,0.023962902,-0.05426708,-0.0049930396,0.006218041,0.0024938,0.0,0.0,-2.0,warmup,figure8
1782704541031910,1,4,0.0018259273,0.022993432,-0.054396793,-0.0050521223,0.005386452,0.002368034,0.0,0.0,-2.0,warmup,figure8
1782704541081558,1,4,0.0011001597,0.022112845,-0.05457355,-0.005054518,0.0046736784,0.0023417063,0.0,0.0,-2.0,warmup,figure8
1782704541131607,1,4,0.00027870014,0.021176938,-0.05492939,-0.005209992,0.003957913,0.0019858761,0.0,0.0,-2.0,warmup,figure8
