timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage
1782658843527323,-1,-1,-0.045814756,-0.019326176,0.0236765,-0.002865381,-0.012566248,0.00393639,0.0,0.0,-2.0,warmup
1782658843577387,1,4,-0.04662567,-0.017818531,0.023366734,-0.0032891256,-0.0110948365,0.003751959,0.0,0.0,-2.0,warmup
1782658843627329,1,4,-0.047332104,-0.016422255,0.022959113,-0.0036694442,-0.009815964,0.0036954558,0.0,0.0,-2.0,warmup
1782658843677650,1,4,-0.04784485,-0.015113569,0.022472337,-0.0037093563,-0.0084834015,0.0033745395,0.0,0.0,-2.0,warmup
1782658843727302,1,4,-0.04806918,-0.013663208,0.021715373,-0.0035080942,-0.007153208,0.0031625885,0.0,0.0,-2.0,warmup
1782658843777334,1,4,-0.04797949,-0.0124952905,0.020886466,-0.0031844038,-0.0061980938,0.0029178944,0.0,0.0,-2.0,warmup
1782658843827396,1,4,-0.047733136,-0.011538519,0.020082504,-0.0027004392,-0.0055505326,0.0027467117,0.0,0.0,-2.0,warmup
1782658843877405,1,4,-0.04738587,-0.010823587,0.01933454,-0.0021579827,-0.0051242653,0.002552686,0.0,0.0,-2.0,warmup
1782658843927694,1,4,-0.04684283,-0.010288504,0.01867637,-0.0016380653,-0.004671905,0.0025371762,0.0,0.0,-2.0,warmup
1782658843977702,1,4,-0.046157334,-0.009975612,0.018383205,-0.0009467611,-0.0044975043,0.00248989,0.0,0.0,-2.0,warmup
1782658844027360,1,4,-0.04526068,-0.009717682,0.018296987,-0.0003424035,-0.004290046,0.002519147,0.0,0.0,-2.0,warmup
1782658844077501,1,4,-0.044278644,-0.0095178755,0.018157974,0.0005220287,-0.0042195134,0.0024872269,0.0,0.0,-2.0,warmup
1782658844127626,1,4,-0.04289705,-0.0092846,0.017953917,0.0016183645,-0.004120555,0.0025720375,0.0,0.0,-2.0,warmup
1782658844177636,1,4,-0.041574195,-0.009101561,0.017736599,0.00256744,-0.003979111,0.0027249407,0.0,0.0,-2.0,warmup
1782658844227294,1,4,-0.040216334,-0.009012173,0.01752843,0.0037079242,-0.004096735,0.002703074,0.0,0.0,-2.0,warmup
1782658844277456,1,4,-0.038883884,-0.008955212,0.017371222,0.0045591956,-0.0039845076,0.0026277832,0.0,0.0,-2.0,warmup
1782658844327434,1,4,-0.037379738,-0.008954014,0.017356917,0.005579682,-0.003974576,0.0028397467,0.0,0.0,-2.0,warmup
1782658844377619,1,4,-0.03600201,-0.0089551415,0.017217815,0.0065380353,-0.003954526,0.0028371175,0.0,0.0,-2.0,warmup
1782658844427323,1,4,-0.03454836,-0.008896284,0.016902268,0.007615208,-0.0038542387,0.002827144,0.0,0.0,-2.0,warmup
1782658844477584,1,4,-0.033230297,-0.008854275,0.016386837,0.008616767,-0.0037813773,0.0027820235,0.0,0.0,-2.0,warmup
1782658844527326,1,4,-0.031881463,-0.008739329,0.015575573,0.009565081,-0.0034378606,0.0024996884,0.0,0.0,-2.0,warmup
1782658844577534,1,4,-0.03078421,-0.008576415,0.0148436725,0.010339009,-0.0032714498,0.0023649072,0.0,0.0,-2.0,warmup
1782658844627355,1,4,-0.02969093,-0.008367745,0.014127925,0.011030538,-0.0030400623,0.0022236996,0.0,0.0,-2.0,warmup
1782658844677536,1,4,-0.028506357,-0.00812175,0.013406545,0.0117623005,-0.0028897,0.0019376876,0.0,0.0,-2.0,warmup
1782658844727678,1,4,-0.026945857,-0.0078087565,0.012506664,0.012656049,-0.0026585625,0.0018282582,0.0,0.0,-2.0,warmup
1782658844777395,1,4,-0.025560083,-0.007526391,0.011686772,0.013473756,-0.0023595695,0.0014721039,0.0,0.0,-2.0,warmup
1782658844827334,1,4,-0.024184903,-0.0072935824,0.010976434,0.0143185705,-0.002084798,0.0013106924,0.0,0.0,-2.0,warmup
1782658844877391,1,4,-0.022905681,-0.0071366467,0.01035668,0.014949142,-0.0019480706,0.0012109422,0.0,0.0,-2.0,warmup
1782658844927311,1,4,-0.021530269,-0.007110034,0.009696826,0.015450829,-0.0020943605,0.0009665751,0.0,0.0,-2.0,warmup
1782658844977549,1,4,-0.020491261,-0.007145424,0.009225786,0.015906163,-0.0021602283,0.0005269658,0.0,0.0,-2.0,warmup
1782658845027318,1,4,-0.019662904,-0.0071074963,0.008719206,0.015911851,-0.0021881773,0.00038248455,0.0,0.0,-2.0,warmup
1782658845077542,1,4,-0.01896027,-0.0070441435,0.008193344,0.015879633,-0.0020448095,0.00018783557,0.0,0.0,-2.0,warmup
1782658845127520,1,4,-0.018297525,-0.007059989,0.007603526,0.015984928,-0.0019198047,-3.5914774e-05,0.0,0.0,-2.0,warmup
1782658845177332,1,4,-0.017768089,-0.0070961285,0.007030502,0.015989233,-0.0018510623,-0.00019651276,0.0,0.0,-2.0,warmup
1782658845227380,1,4,-0.017341333,-0.0070447237,0.0064365715,0.015952205,-0.0017819667,-0.00036602197,0.0,0.0,-2.0,warmup
1782658845277409,1,4,-0.017064905,-0.0068375864,0.005866468,0.015761986,-0.001326807,-0.0006262215,0.0,0.0,-2.0,warmup
1782658845327503,1,4,-0.016975638,-0.006426051,0.0052432567,0.015524327,-0.0007756044,-0.0009510397,0.0,0.0,-2.0,warmup
1782658845377462,1,4,-0.017055456,-0.0059536803,0.004671812,0.0150686875,-0.00015562205,-0.0010621381,0.0,0.0,-2.0,warmup
1782658845427356,1,4,-0.017210353,-0.005389934,0.0039991736,0.014764427,0.0004450234,-0.0013327057,0.0,0.0,-2.0,warmup
1782658845477386,1,4,-0.017474981,-0.004757386,0.003142774,0.014235923,0.0010731586,-0.0015991596,0.0,0.0,-2.0,warmup
