timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,stage,trajectory_type,controller_mode,position_error_xy,position_error_3d
1782792361076583,-1,-1,nan,nan,nan,nan,nan,nan,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,nan,nan
1782792361126422,-1,-1,-0.015819604,-0.01349816,-0.032707676,-0.006222447,0.005157256,0.0003804658,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.020795676507188835,1.9674022239228082
1782792361176402,1,4,-0.016841896,-0.012744109,-0.03333403,-0.006826745,0.0056998585,0.00015138416,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.02112017467607546,1.9667794189890702
1782792361226355,1,4,-0.017869145,-0.012160811,-0.033837378,-0.0073116454,0.0061264085,0.00011557709,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.021614616002159633,1.966281493771999
1782792361276360,1,4,-0.019148482,-0.011693138,-0.03427434,-0.008123416,0.00640063,-5.4457534e-05,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.02243643958872007,1.9658536647614704
1782792361326405,1,4,-0.0201953,-0.0113470405,-0.03458406,-0.0088742385,0.0066220774,-0.00024378013,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.023164746554214754,1.9655525036468207
1782792361376533,1,4,-0.021127513,-0.011069884,-0.03483516,-0.009470648,0.00673122,-0.0003371543,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.023851920483942413,1.9653096490379225
1782792361426421,1,4,-0.0218633,-0.010905314,-0.035079032,-0.009687809,0.006836608,-0.0006171674,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.02443214700381301,1.9650728914946969
1782792361476331,1,4,-0.022428093,-0.010887518,-0.035414487,-0.009902263,0.006877116,-0.00077324465,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.024931053133406864,1.9647437007602604
1782792361526375,1,4,-0.022672174,-0.01091713,-0.035688892,-0.009623346,0.0068178214,-0.0010214845,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.025163688607592934,1.964472286231802
1782792361576506,1,4,-0.02266416,-0.010936649,-0.035948962,-0.009293892,0.0067614894,-0.0013061822,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.025164944622622448,1.9642121833811064
1782792361626391,1,4,-0.022300135,-0.010968739,-0.03617689,-0.008643517,0.0065330397,-0.0014984562,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.02485174643996509,1.963980270764456
1782792361676538,1,4,-0.021515207,-0.011104993,-0.036625862,-0.0076804818,0.0063099554,-0.0018191402,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.024212083985487826,1.9635234059531117
1782792361726422,1,4,-0.020648245,-0.011265573,-0.03707905,-0.0067527955,0.006169368,-0.0018398906,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.02352154583547979,1.9630618803557764
1782792361776430,1,4,-0.019582119,-0.011520217,-0.037559256,-0.0058343215,0.0057945517,-0.0020285642,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.022719479936023183,1.962572244662917
1782792361827195,1,4,-0.018367285,-0.011865263,-0.03792377,-0.004809741,0.005263655,-0.0020750642,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.02186645033131479,1.9621979815134343
1782792361876356,1,4,-0.016832108,-0.01232558,-0.0382863,-0.0036493037,0.004889596,-0.00224449,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.020862401130432636,1.9618246191968376
1782792361926427,1,4,-0.015524832,-0.012891975,-0.038450703,-0.0028393841,0.0043628137,-0.0021711779,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.020179777379727436,1.9616530735168267
1782792361976420,1,4,-0.014315506,-0.013575553,-0.038424462,-0.0020641303,0.0037923267,-0.002162672,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.01972889659192941,1.9616747682199391
1782792362026379,1,4,-0.013140737,-0.014419455,-0.038327858,-0.0015492318,0.0031442915,-0.002171182,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.0195089637744037,1.9617692011912808
1782792362076366,1,4,-0.011785729,-0.015585074,-0.03810768,-0.00067202933,0.0020766906,-0.0021666656,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.01953965095804915,1.9619896486341757
1782792362126461,1,4,-0.010512937,-0.016766118,-0.037898004,-6.276937e-05,0.0009505883,-0.0020842708,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.01978950673659661,1.9622017481918876
1782792362176449,1,4,-0.009107216,-0.01801225,-0.037643448,0.0006134679,-0.00019182051,-0.0019424767,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.020183720044637372,1.9624603559049378
1782792362226418,1,4,-0.007592924,-0.019214522,-0.037311956,0.0013506378,-0.0012909307,-0.0017599519,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.020660357425932394,1.962796792591678
1782792362276496,1,4,-0.005779322,-0.020520788,-0.037049234,0.0022274714,-0.0024881726,-0.001593398,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.02131908267642522,1.9630664348155387
1782792362326420,1,4,-0.00423706,-0.021577008,-0.036919013,0.0030523206,-0.0033354538,-0.0014020756,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.021989087080840117,1.9632041566879366
1782792362376375,1,4,-0.0027612804,-0.022587638,-0.036836907,0.0038275318,-0.0042478256,-0.0014360459,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.022755791827484582,1.9632949943987348
1782792362426433,1,4,-0.0013743065,-0.023618674,-0.036739647,0.0045945896,-0.0050822017,-0.001322007,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.02365862327523202,1.9634029497952707
1782792362476463,1,4,0.00022940362,-0.024740765,-0.036606044,0.005302161,-0.0059180134,-0.0011691429,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.024741827686257323,1.963549815463722
1782792362526425,1,4,0.0016793116,-0.025557062,-0.036520973,0.0060438956,-0.006524749,-0.0013347531,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.02561217516105912,1.9636460402158769
1782792362576417,1,4,0.0031789741,-0.026278887,-0.03663358,0.006829642,-0.0068859886,-0.0014142103,0.0,0.0,-2.0,nan,nan,nan,warmup,square,baseline,0.02647046991840979,1.9635448371463613
