timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,stage,trajectory_type,controller_mode,position_error_xy,position_error_3d
1782792134561803,-1,-1,nan,nan,nan,nan,nan,nan,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,nan,nan
1782792134611865,-1,-1,-0.0066308556,0.004557319,0.018602371,-0.004585586,0.013743535,0.0040586144,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.008045955276705196,2.0186184677877224
1782792134661731,1,4,-0.0075965743,0.0050342046,0.018578902,-0.0053254315,0.013944993,0.004063582,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.009113240710780254,2.018599570134785
1782792134711810,1,4,-0.008912477,0.005849279,0.018268645,-0.006203271,0.014723104,0.00395961,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.010660502363289689,2.0182967111093224
1782792134761748,1,4,-0.010198746,0.0066687707,0.017830491,-0.0069550145,0.015177212,0.0037178642,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.012185521247899187,2.0178671497815412
1782792134811874,1,4,-0.011557711,0.0074503236,0.017436177,-0.007822673,0.015906487,0.003592017,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.013750927549912424,2.0174832317123426
1782792134861644,1,4,-0.012902478,0.008222183,0.0169563,-0.0086354315,0.016621018,0.0032867598,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.01529961560151295,2.017014372094033
1782792134911724,1,4,-0.014429223,0.009115113,0.016143903,-0.009505337,0.017188111,0.003074899,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.017067154229635992,2.016216102688821
1782792134961727,1,4,-0.01564881,0.009822633,0.015349075,-0.010202279,0.01756281,0.0026207874,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.018476183670164542,2.0154338420740445
1782792135011800,1,4,-0.016778858,0.010432907,0.01439476,-0.010635213,0.017918946,0.0022874854,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.019757926110839992,2.014491745906081
1782792135061651,1,4,-0.017714722,0.010988016,0.013406917,-0.011040018,0.01811768,0.0018012172,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.020845811724703803,2.0135148705917816
1782792135111784,1,4,-0.01857936,0.011683666,0.012234822,-0.011227261,0.018495133,0.0012747438,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.021947680292161157,2.012354600286063
1782792135161775,1,4,-0.01916947,0.012394816,0.01119034,-0.011257002,0.018985597,0.00073976076,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.022827616345103007,2.0113200264754902
1782792135211773,1,4,-0.01958157,0.013205643,0.010250449,-0.011222386,0.01942003,0.00046539577,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.02361835917553328,2.0103892849917084
1782792135261690,1,4,-0.019802162,0.014012127,0.009404421,-0.011031979,0.019695804,2.8505212e-05,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.024258305084675937,2.0095507745110934
1782792135311918,1,4,-0.019751132,0.014831952,0.008352786,-0.010900974,0.020070106,-0.00033437222,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.024700080841982237,2.008504547904091
1782792135361771,1,4,-0.019568866,0.015398719,0.007422805,-0.010714692,0.020289619,-0.0006977877,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.024901025400606572,2.007577370260735
1782792135411820,1,4,-0.019418376,0.015710711,0.0065009743,-0.010493059,0.020055156,-0.00092870963,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.024977985203446153,2.006656417799385
1782792135461695,1,4,-0.019331755,0.015834855,0.0055752844,-0.010348999,0.019937417,-0.0012354985,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.024989184726108955,2.0057308820745052
1782792135511837,1,4,-0.01928671,0.015731545,0.0045728683,-0.010349499,0.019648654,-0.0014784132,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.024888927922401983,2.0047273793940508
1782792135561693,1,4,-0.019363288,0.015529083,0.0038230717,-0.010374694,0.019475639,-0.0017958684,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.024821146719418184,2.0039768020672986
1782792135611797,1,4,-0.019394053,0.015331021,0.0031362176,-0.010255828,0.019173233,-0.0019076216,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.024721842499117172,2.003288783669281
1782792135661748,1,4,-0.01931445,0.015126134,0.0025113076,-0.010204289,0.0187988,-0.0019755452,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.024532588304168594,2.002661483863765
1782792135711852,1,4,-0.01914019,0.014804753,0.0020072758,-0.009762124,0.018414415,-0.0018647292,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.02419767688699167,2.002153429384812
1782792135761668,1,4,-0.01892138,0.014522342,0.0016915798,-0.009547928,0.01803455,-0.0018201035,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.0238519827134563,2.0018336711694076
1782792135811857,1,4,-0.018620463,0.014084564,0.0015196204,-0.009202377,0.01753177,-0.001698954,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.023347303563033082,2.0016558468304164
1782792135861654,1,4,-0.018291049,0.01332075,0.0013609827,-0.008956383,0.016609434,-0.001485276,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.02262752372539205,2.001488846697525
1782792135911906,1,4,-0.018059585,0.012464761,0.0011180192,-0.008620472,0.01582681,-0.0015539933,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.02194353796856961,2.0012383203683886
1782792135961656,1,4,-0.017852517,0.011499522,0.0007290542,-0.008447998,0.0148212975,-0.0016246295,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.02123561554049759,2.0008417980561055
1782792136011799,1,4,-0.017608006,0.010436549,0.00061154366,-0.008419452,0.013855394,-0.0015634238,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.020468595592675325,2.000716319551775
1782792136061690,1,4,-0.017325604,0.009352483,0.0004415661,-0.008217748,0.012980998,-0.0016057563,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.019688715071780535,2.0005383958933662
1782792136111831,1,4,-0.016924458,0.008200253,6.814301e-05,-0.008016389,0.011935791,-0.0018729599,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.018806420378425864,2.000156634872849
1782792136161779,1,4,-0.016642662,0.007268723,-0.0003579557,-0.008070111,0.0111858025,-0.0019043435,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.018160741256281105,1.9997244883551815
1782792136211900,1,4,-0.016351178,0.006399343,-0.0009226054,-0.008111874,0.010562117,-0.0018963519,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.017558833138920628,1.9991545678435574
1782792136261733,1,4,-0.016043907,0.0056687463,-0.0014806688,-0.008013348,0.010075937,-0.0019558743,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.017015923133527004,1.9985917020692847
1782792136311892,1,4,-0.015575545,0.004924278,-0.0021134317,-0.007815152,0.009700413,-0.002203584,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.01633542453522842,1.9979533213679528
1782792136361741,1,4,-0.015035929,0.004419812,-0.002712056,-0.0075000366,0.009436007,-0.0025262644,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.015672074499101286,1.997349472867306
1782792136411741,1,4,-0.014331378,0.0039837672,-0.0033564419,-0.0070454963,0.009239819,-0.0027229867,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.014874770606406164,1.9966989335120748
1782792136461716,1,4,-0.013498057,0.003530826,-0.0038945526,-0.0062679304,0.009114642,-0.002808525,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.01395221339941104,1.9961541870284252
1782792136511754,1,4,-0.012457287,0.0030046203,-0.0044867396,-0.005515055,0.008937692,-0.0029076193,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.01281451295331551,1.995554334164118
1782792136561675,1,4,-0.011552611,0.0024496005,-0.004857555,-0.004784714,0.008527737,-0.0030957854,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.011809461154573635,1.9951774151151682
1782792136611691,1,4,-0.010671163,0.0017628961,-0.0052222162,-0.004117302,0.008137556,-0.0031331675,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.010815799660522348,1.9948071179567592
1782792136661644,1,4,-0.009937268,0.00094177003,-0.005534947,-0.0037046676,0.00772274,-0.0030986834,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.009981794499034288,1.9944900669817383
1782792136711863,1,4,-0.009258634,-0.00017843331,-0.0056547076,-0.0035043086,0.0068651377,-0.003077433,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.00926035380957007,1.994366818862245
1782792136761703,1,4,-0.008760584,-0.0012728291,-0.005709246,-0.0031542114,0.006168757,-0.0028140673,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.008852565766524127,1.9943103923512104
1782792136811822,1,4,-0.008283347,-0.0023723112,-0.0058169663,-0.0028140552,0.0053849192,-0.002727205,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.008616362108442346,1.9942016592222196
1782792136861676,1,4,-0.007863389,-0.003489458,-0.0058969706,-0.0025571482,0.004586557,-0.0026155266,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.008602860414429321,1.994121614939078
1782792136911738,1,4,-0.0075173858,-0.004864457,-0.0056796223,-0.0021913399,0.0036618884,-0.0025860553,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.00895399528753526,1.994340458794668
1782792136961657,1,4,-0.0073683243,-0.0061182673,-0.0053920597,-0.0019751105,0.0027686763,-0.0024438149,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.009577337461381664,1.9946309382639589
1782792137011786,1,4,-0.0072637387,-0.007248338,-0.005117506,-0.0018748734,0.0020962388,-0.0022462236,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.010261593432068748,1.9949088863131474
1782792137061700,1,4,-0.007146905,-0.008255505,-0.00481537,-0.0018844327,0.0015742548,-0.0018143433,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.010919322881421795,1.9952145187230537
1782792137111839,1,4,-0.00690567,-0.009450082,-0.0044398904,-0.0015602594,0.0008931789,-0.0016041321,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.01170437149258578,1.9955945370502826
1782792137161705,1,4,-0.006675005,-0.010535548,-0.004247576,-0.0014761931,0.000239559,-0.0013843629,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.012472107644064598,1.9957914179446836
1782792137211706,1,4,-0.006390922,-0.011545671,-0.004068807,-0.001302408,-0.00016506138,-0.0012541887,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.01319645435397983,1.9959747219243316
1782792137261662,1,4,-0.0060016005,-0.012504877,-0.0038387626,-0.00088930473,-0.0004828109,-0.0012509901,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.013870513606951528,1.996209426782867
1782792137311946,1,4,-0.0054625473,-0.0135745,-0.0036946088,-0.00045846798,-0.0010715568,-0.0012879991,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.014632377165002491,1.9963589546218516
1782792137361733,1,4,-0.0047998084,-0.014544,-0.0035318881,0.0001449363,-0.0016153613,-0.0012066143,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.015315550610803695,1.9965268018047508
1782792137411865,1,4,-0.003999851,-0.015440135,-0.0035018027,0.00073043525,-0.0021136394,-0.001231482,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.015949814482379077,1.9965619099965868
1782792137461733,1,4,-0.0030808744,-0.016212175,-0.0035146475,0.0016151043,-0.002448984,-0.0012827733,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.01650231423543304,1.9965535509592887
1782792137511876,1,4,-0.001959474,-0.016940948,-0.0033261478,0.0026264768,-0.002644122,-0.0012480654,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.017053892433759526,1.9967466357885666
1782792137561713,1,4,-0.00081679475,-0.01738208,-0.003023088,0.0035428635,-0.0026271304,-0.00117844,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.01740125995931348,1.9970526435648694
1782792137611801,1,4,0.00046626772,-0.017715938,-0.0027682632,0.004585474,-0.0026322885,-0.0012028064,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.017722073549617405,1.9973103199491598
1782792137661761,1,4,0.0020129634,-0.018041374,-0.0024248064,0.005782742,-0.0026861113,-0.0010545857,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,figure8,feedforward,0.018153324657773955,1.9976576559325139
