trajectory_type,controller_mode,samples,duration_s,xy_rmse_m,xy_mae_m,max_xy_error_m,z_rmse_m,z_mae_m,position_rmse_m,max_position_error_m,final_position_error_before_landing_m,max_speed_mps,source_files
circle,baseline,771,39.999968,0.2281003969075206,0.19420391622590932,0.943336515466583,0.19047712581895065,0.06624076749675746,0.29717221695444,1.632124444847964,0.13318829096201187,1.098177290459201,logs/offboard_trajectory_circle_baseline_20260629_235707.csv
circle,feedforward,772,39.950033,0.1559460382835017,0.06170621601094994,0.9470070036487239,0.19707481622862555,0.06697899363989636,0.2513118581521093,1.6924139607545636,0.02000094797604929,1.1328392288205136,logs/offboard_trajectory_circle_feedforward_20260630_003510.csv
figure8,baseline,800,39.949938,0.2207825085377005,0.20878372130666903,0.3738684506711788,0.18708834518590592,0.06433775446250001,0.28939067880738745,1.3343293391665156,0.2824660659075871,1.0559644570153508,logs/offboard_trajectory_figure8_baseline_20260630_115423.csv
figure8,feedforward,778,39.999876,0.06110180732558506,0.05249979134616355,0.21870133551063445,0.37895623829812897,0.12152331069652955,0.3838505717118593,2.007747673702714,0.016807403153624695,1.1865495505338999,logs/offboard_trajectory_figure8_feedforward_20260630_120214.csv
square,baseline,771,39.95013,0.24031802536860902,0.19427375320260376,1.0956260874094912,0.20460800178982808,0.07006613604409857,0.3156219062636397,1.8295953897056836,0.1478100800522414,1.0977039504715524,logs/offboard_trajectory_square_baseline_20260630_120601.csv
square,smooth,767,39.95014,0.19282681547240393,0.08731999161604652,1.1154155338228715,0.19995891683423941,0.06910117162972619,0.2777872372639729,1.8015447897052725,0.0675062684533259,1.1050515197251354,logs/offboard_trajectory_square_smooth_20260630_120804.csv
