mode_key,label,controller_mode,ff_gain,samples,duration_s,xy_rmse_m,z_rmse_m,position_rmse_m,max_position_error_m,final_position_error_before_landing_m,max_speed_mps,xy_rmse_improvement_percent,z_rmse_improvement_percent,position_rmse_improvement_percent,max_position_error_improvement_percent,source_file
baseline,baseline,baseline,1.0,800,39.949938,0.2207825085377005,0.18708834518590592,0.28939067880738745,1.3343293391665156,0.2824660659075871,1.0559644570153508,0.0,0.0,0.0,0.0,logs/offboard_trajectory_figure8_baseline_20260630_115423.csv
feedforward,feedforward,feedforward,1.0,778,39.999876,0.06110180732558506,0.37895623829812897,0.3838505717118593,2.007747673702714,0.016807403153624695,1.1865495505338999,72.324887632504,-102.5547010539688,-32.640959029417274,-50.468674769367404,logs/offboard_trajectory_figure8_feedforward_20260630_120214.csv
planar_ff_g0p5,planar_ff g=0.5,planar_ff,0.5,776,39.950151,0.1478692901536933,0.19991126416982338,0.2486560687225109,1.2287518678148375,0.18560712161845738,0.7353876841261918,33.02490712100803,-6.853937892911281,14.075992444797672,7.912399754143665,logs/offboard_trajectory_figure8_planar_ff_g0p5_20260630_130443.csv
planar_ff_g0p8,planar_ff g=0.8,planar_ff,0.8,780,40.000129,0.07703413377004649,0.19900897096112655,0.21339828558052643,1.411777831730933,0.06836644252411822,1.0735641087756271,65.10858841116381,-6.371656002075031,26.259447450081836,-5.80430110401345,logs/offboard_trajectory_figure8_planar_ff_g0p8_20260630_130300.csv
planar_ff_g1,planar_ff g=1.0,planar_ff,1.0,749,40.00033,0.09027713026301047,0.20861539353844963,0.22731111426792744,1.2557164046992375,0.10686127896607273,0.7309877101016129,59.1103793226469,-11.50635456802652,21.451818971950683,5.891569057185195,logs/offboard_trajectory_figure8_planar_ff_g1_20260630_130606.csv
