comparison,reference,candidate,whether_valid,notes,xy_rmse_m_improvement_percent,z_rmse_m_improvement_percent,position_rmse_m_improvement_percent,max_position_error_m_improvement_percent,final_position_error_before_landing_m_improvement_percent,xy_error_std_m_improvement_percent,position_error_std_m_improvement_percent,max_speed_mps_improvement_percent
circle feedforward vs baseline,circle baseline,circle feedforward,True,,31.632719452598167,-3.46377045606307,15.432249781735694,-3.6939288604439597,84.9829532073852,-19.70402417834885,-16.99585317822502,-3.156315347480793
square smooth vs baseline,square baseline,square smooth,True,,19.761817626189814,2.2721911728379856,11.987339360425562,1.5331586512646043,54.32904952797079,-21.535892311536724,-12.371921621869511,-0.6693580040799303
figure8 feedforward vs baseline,figure8 baseline,figure8 feedforward,True,,72.324887632504,-102.5547010539688,-32.640959029417274,-50.468674769367404,94.04976201313914,56.45797710570268,-130.82947312856345,-12.366428874665308
figure8 planar_ff g=0.5 vs baseline,figure8 baseline,figure8 planar_ff g=0.5,True,,33.02490712100803,-6.853937892911281,14.075992444797672,7.912399754143665,34.29047095548056,-14.991974630044517,-20.02729067445834,30.358670763906087
figure8 planar_ff g=0.8 vs baseline,figure8 baseline,figure8 planar_ff g=0.8,True,,65.10858841116381,-6.371656002075031,26.259447450081836,-5.80430110401345,75.79658204094318,45.231755851490405,-15.462913280275847,-1.666689787080635
figure8 planar_ff g=1.0 vs baseline,figure8 baseline,figure8 planar_ff g=1.0,True,,59.1103793226469,-11.50635456802652,21.451818971950683,5.891569057185195,62.16845424503701,9.906131415071881,-28.08414434764141,30.775348995388928
figure8 planar_ff g=0.5 vs feedforward,figure8 feedforward,figure8 planar_ff g=0.5,True,,-142.00477305975895,47.246873394243735,35.2206074323196,38.79948741025024,-1004.3176624131208,-164.09424042883634,48.00174819633731,38.02301102425122
figure8 planar_ff g=0.8 vs feedforward,figure8 feedforward,figure8 planar_ff g=0.8,True,,-26.07504940003651,47.48497297343235,44.405896120244506,29.68350305059428,-306.76386410933605,-25.782498166116625,49.97912887148198,9.522184868506656
figure8 planar_ff g=1.0 vs feedforward,figure8 feedforward,figure8 planar_ff g=1.0,True,,-47.74870697680472,44.95000412835805,40.78135320883137,37.456463222620535,-535.7988678520331,-106.91245513245937,44.511356105594324,38.393831949732096
